genotype,plotNumber,block,range,row,poundsOfNitrogenPerAcre
88V1080,41017,4,44,26,100
SC 172,41018,4,45,26,100
Check,41019,4,46,26,100
Tambroro 7,41020,4,47,26,100
Chanan Singoo,41021,4,48,26,100
SAP-173,41022,4,49,26,100
Check,41023,4,50,26,100
Check,41024,4,51,26,100
Check,41025,4,52,26,100
Tx2785,41026,4,53,26,100
Check,41027,4,54,26,100
SO 16,41101,4,28,27,100
MN 707 (preconverted),41102,4,29,27,100
AS 4055 N Kambwa,41103,4,30,27,100
A 84,41104,4,31,27,100
SAP-280,41105,4,32,27,100
Mashica,41106,4,33,27,100
A/BTx626,41107,4,34,27,100
SC 1215,41108,4,35,27,100
SC 639,41109,4,36,27,100
Check,41110,4,37,27,100
SAP-148,41111,4,38,27,100
T 28,41112,4,39,27,100
Check,41113,4,40,27,100
Check,41114,4,41,27,100
WHEATLAND,41115,4,42,27,100
JOCORO,41116,4,43,27,100
SC 748-5,41117,4,44,27,100
SC 22,41118,4,45,27,100
Feterita Geshaish,41119,4,46,27,100
RED AMBER,41120,4,47,27,100
SAP-263,41121,4,48,27,100
Check,41122,4,49,27,100
BTx623_(XK: fromBIllRooney_TAMU_2024),41123,4,50,27,100
SAP-336,41124,4,51,27,100
SC 59,41125,4,52,27,100
CAPROCK,41126,4,53,27,100
KAT83369,41127,4,54,27,100
KA 24,41201,4,28,28,100
No. 1 Gambela,41202,4,29,28,100
No. 4 Hadoui,41203,4,30,28,100
SAP-311,41204,4,31,28,100
IS 3515C,41205,4,32,28,100
SAP-162,41206,4,33,28,100
SC 947,41207,4,34,28,100
Check,41208,4,35,28,100
SC 621,41209,4,36,28,100
Check,41210,4,37,28,100
Brawley,41211,4,38,28,100
Check,41212,4,39,28,100
SAP-133,41213,4,40,28,100
No. 64 Netch Addesho Ethiopia,41214,4,41,28,100
Tx2891,41215,4,42,28,100
SOBERANO,41216,4,43,28,100
SC 1277,41217,4,44,28,100
Tortillerio,41218,4,45,28,100
M 1,41219,4,46,28,100
Check,41220,4,47,28,100
AS 5826 Holcus,41221,4,48,28,100
Check,41222,4,49,28,100
SAN CHI SAN,41223,4,50,28,100
Black Spanish,41224,4,51,28,100
Check,41225,4,52,28,100
Check,41226,4,53,28,100
Check,41227,4,54,28,100
Kireniga 317,41301,4,28,29,100
Check,41302,4,29,29,100
1903 AS 4633,41303,4,30,29,100
KS19,41304,4,31,29,100
SAP-342,41305,4,32,29,100
SAP-398,41306,4,33,29,100
BTx406,41307,4,34,29,100
SC 1476,41308,4,35,29,100
SC 525,41309,4,36,29,100
Jola Nandyal,41310,4,37,29,100
Accho Karuho,41311,4,38,29,100
K037 Camjin,41312,4,39,29,100
Mashica,41313,4,40,29,100
SAP-341,41314,4,41,29,100
Check,41315,4,42,29,100
Check,41316,4,43,29,100
Check,41317,4,44,29,100
N290B,41318,4,45,29,100
KA 12 Janjari,41319,4,46,29,100
54.K.94(Witchweed res.),41320,4,47,29,100
AS 4136 Masaka Luwemba,41321,4,48,29,100
Tx2741,41322,4,49,29,100
SAP-286,41323,4,50,29,100
TAM2566,41324,4,51,29,100
TX 3197 (COMB KAFIR 60) B LINE,41325,4,52,29,100
SUGAR DRIP,41326,4,53,29,100
WILEY,41327,4,54,29,100
BO 36,41401,4,28,30,100
18NL277 @-01,41402,4,29,30,100
Mashila,41403,4,30,30,100
No. 902 Sorghum arundi,41404,4,31,30,100
Check,41405,4,32,30,100
SAP-134,41406,4,33,30,100
SC 49,41407,4,34,30,100
SC 790,41408,4,35,30,100
SC 1439,41409,4,36,30,100
"No. 69 Mashela Tinguish, Warakul Ethiopi",41410,4,37,30,100
AS 2613 NT,41411,4,38,30,100
SAP-206,41412,4,39,30,100
Check,41413,4,40,30,100
RTx430_(XK: fromBillRooney_TAMU_2024),41414,4,41,30,100
Ex-Mubi,41415,4,42,30,100
Check,41416,4,43,30,100
QL3(India),41417,4,44,30,100
SC 968,41418,4,45,30,100
PL 47,41419,4,46,30,100
No. 5 Gambela,41420,4,47,30,100
"No. 59 Bekedjie, Kembolcha Ethiopia",41421,4,48,30,100
TEXAS BLACKHULL KAFIR,41422,4,49,30,100
KS 115,41423,4,50,30,100
F.R. Miller,41424,4,51,30,100
SAP-380,41425,4,52,30,100
SC 1494,41426,4,53,30,100
Check,41427,4,54,30,100
Check,41501,4,28,31,100
Sorghum Soroti,41502,4,29,31,100
Hamaisi 38,41503,4,30,31,100
SAP-250,41504,4,31,31,100
DAY MILO,41505,4,32,31,100
SAP-159,41506,4,33,31,100
KELLER,41507,4,34,31,100
P-721,41508,4,35,31,100
TX2784,41509,4,36,31,100
Deburr,41510,4,37,31,100
"Orange No. l, Baijo",41511,4,38,31,100
IS 18696,41512,4,39,31,100
RTX434,41513,4,40,31,100
BOK11,41514,4,41,31,100
Nkuli Swaziland,41515,4,42,31,100
R9188,41516,4,43,31,100
Check,41517,4,44,31,100
BTx642,41518,4,45,31,100
Tuery 11,41519,4,46,31,100
Barking 119,41520,4,47,31,100
Framiola DL/59/1539,41521,4,48,31,100
SAP-172,41522,4,49,31,100
Check,41523,4,50,31,100
SAP-157,41524,4,51,31,100
SAP-50,41525,4,52,31,100
LianTang Ai,41526,4,53,31,100
IS 7151C,41527,4,54,31,100
Bulfontein White Kafir Corn DL/60/133,41601,4,28,32,100
Wit Lichtenburg DL/59/1530,41602,4,29,32,100
ZA 71,41603,4,30,32,100
Check,41604,4,31,32,100
MARTIN,41605,4,32,32,100
"No. 25 Gobo, Kaichama Ethiopia",41606,4,33,32,100
SC 386,41607,4,34,32,100
BTx3042,41608,4,35,32,100
SC 85,41609,4,36,32,100
No. 35 Mab,41610,4,37,32,100
Check,41611,4,38,32,100
740 Oua Berr,41612,4,39,32,100
Check,41613,4,40,32,100
SAP-340,41614,4,41,32,100
SAP-154,41615,4,42,32,100
Check,41616,4,43,32,100
SUMAC,41617,4,44,32,100
RTAM428,41618,4,45,32,100
Kabutuwa,41619,4,46,32,100
Budy,41620,4,47,32,100
Check,41621,4,48,32,100
SPUR FETERITA,41622,4,49,32,100
SAP-158,41623,4,50,32,100
WACONIA,41624,4,51,32,100
SC 1484,41625,4,52,32,100
SC 1463,41626,4,53,32,100
SC 695,41627,4,54,32,100
